abysmal	The Abysmal Sea	curated	god	id	279
acrylia	Acrylia Caverns	curated	luclin	id	154
airplane	The Plane of Sky	curated	classic	id	71
akanon	Ak'Anon	name	classic	id	55
akheva	The Akheva Ruins	curated	luclin	id	179
alkabormare	Al'Kabor's Nightmare	curated	hot	id	709
arena	The Arena	name	classic	id	77,388
arginhiz	Argin-Hiz	name	cotf	id	776
arthicrex	Arthicrex	name	uf	id	485
arxmentis	Arx Mentis	name	tds	id	778
ashengate	Ashengate, Reliquary of the Scale	curated	tss	id	406
barter	The Bazaar	curated	luclin	id	151
bazaar	The Bazaar	name	luclin	id	151
befallen	Befallen	name	classic	id	36,411,536
befallenb	Befallen	curated	classic	id	36,411,536
beholder	The Gorge of King Xorbb	curated	classic	id	16
bixiewarfront	Bixie Warfront	name	cotf	id	770
blackburrow	Blackburrow	name	classic	id	17,468
bloodfalls	Bloodfalls	name	nos	id	849
bloodfields	The Bloodfields	name	oow	id	301
bothunder	Torden, the Bastion of Thunder	curated	pop	id	209
breedinggrounds	The Breeding Grounds	name	rof	id	757
brellsarena	Brell's Arena	name	uf	id	492
brellsrest	Brell's Rest	name	uf	id	480
brellstemple	Brell's Temple	name	uf	id	490
broodlands	The Broodlands	name	don	id	337
brotherisland	Brother Island	name	tds	id	779
buriedsea	The Buried Sea	name	tbs	id	423
burningwood	The Burning Woods	graph	kunark	id	87
butcher	Butcherblock Mountains	curated	classic	id	68
cabeast	Cabilis East	graph	kunark	id	106
cabwest	Cabilis West	graph	kunark	id	82
cauldron	Dagnor's Cauldron	curated	classic	id	70
causeway	Nobles' Causeway	graph	oow	id	303
cazicthule	Temple of Cazic-Thule	curated	classic	id	48
chamberoftears	Chamber of Tears	name	tbl	id	823
chapterhouse	Chapterhouse of the Fallen	graph	rof	id	760
charasis	Howling Stones	curated	kunark	id	105,813
chardok	Chardok	name	kunark	id	103,800
chardokb	Chardok: The Halls of Betrayal	curated	ldon	id	277
chelsithreborn	Chelsith Reborn	name	rof	id	763
citymist	The City of Mist	curated	kunark	id	90
cobaltscar	Cobalt Scar	name	velious	id	117,833
commonlands	The Commonlands	name	tss	id	408,509
commons	West Commonlands	graph	classic	id	21,521
convorteum	The Convorteum	name	uf	id	491
coolingchamber	The Cooling Chamber	name	uf	id	483
crescent	Crescent Reach	graph	tss	id	394
crushbone	Clan Crushbone	curated	classic	id	58
cryptofshade	Crypt of Shade	name	sof	id	449
crystal	Crystal Caverns	curated	velious	id	121,830
crystallos	Crystallos, Lair of the Awakened	curated	sof	id	446
dalnir	The Crypt of Dalnir	curated	kunark	id	104
darklightcaverns	Darklight Caverns	name	nos	id	855
dawnshroud	Dawnshroud Peaks	curated	luclin	id	174
deadhills	The Dead Hills	name	cotf	id	771
deepshade	Deepshade	name	nos	id	856
delvea	Lavaspinner's Lair	graph	don	id	341
devastation	The Devastation	name	por	id	372
dragonscale	Dragonscale Hills	graph	sof	id	442
draniksscar	Dranik's Scar	name	oow	id	302
dreadlands	The Dreadlands	name	kunark	id	86
droga	The Temple of Droga	curated	kunark	id	81,581,788
eastkarana	The Eastern Plains of Karana	curated	classic	id	15
eastwastes	Eastern Wastes	curated	velious	id	116,616,824
echo	Echo Caverns	graph	luclin	id	153
ecommons	East Commonlands	curated	classic	id	22
emeraldjungle	The Emerald Jungle	name	kunark	id	94
erudnext	Erudin	curated	classic	id	24
erudnint	Erudin Palace	curated	classic	id	23
erudsxing	Erud's Crossing	curated	classic	curated	98,598
erudsxing2	Erud's Crossing	curated	classic	curated	98,598
ethernere	Ethernere Tainted West Karana	graph	cotf	id	772
everfrost	Everfrost Peaks	graph	classic	id	30,531
fearplane	The Plane of Fear	curated	classic	id	72,572
feerrott	The Feerrott	name	classic	id	47,700
felwithea	Northern Felwithe	curated	classic	id	61
felwitheb	Southern Felwithe	curated	classic	id	62
fieldofbone	The Field of Bone	name	kunark	id	78
firefallpass	Firefall Pass	name	ls	id	857
firiona	Firiona Vie	graph	kunark	id	84,503
foundation	The Foundation	name	uf	id	486
freeportacademy	Academy of Arcane Sciences	curated	por	id	385
freeportcityhall	City Hall	curated	por	id	389
freeporteast	East Freeport	curated	classic	id	10,382
freeporthall	Hall of Truth	curated	por	id	391
freeportmilitia	Freeport Militia House	curated	por	id	387
freeportsewers	Freeport Sewers	name	por	id	384
freeportwest	West Freeport	curated	classic	id	9,383
freporte	East Freeport	curated	classic	id	10,382
freportn	North Freeport	curated	classic	id	8
freportw	West Freeport	curated	classic	id	9,383
frontiermtns	Frontier Mountains	graph	kunark	id	92,791
frontiermtnsb	The Skyfire Mountains	graph	kunark	id	91,814
fungalforest	Fungal Forest	name	uf	id	481
fungusgrove	The Fungus Grove	name	luclin	id	157
gfaydark	The Greater Faydark	curated	classic	id	54
gorowyn	Gorowyn	name	ros	curated	792
greatdivide	The Great Divide	name	velious	id	118,618,827
griegsend	Grieg's End	name	luclin	id	163
grimling	Grimling Forest	curated	luclin	id	167,809
grobb	Grobb	name	classic	id	52
guildhall	Guild Hall	name	don	id	345
guildlobby	Guild Lobby	name	don	id	344
gukbottom	The Ruins of Old Guk	curated	classic	id	66
guktop	The City of Guk	curated	classic	id	65
halas	Halas	name	classic	id	29
harbingers	Harbinger's Spire	curated	oow	id	335
hateplane	The Plane of Hate	curated	classic	id	76,186,586
hateplaneb	The Plane of Hate	curated	classic	id	76,186,586
hatesfury	Hate's Fury	name	loy	id	228
